obs_month,geography,signal_type,metric,value,source_id
2010-01-01,tract_06073008310,food_access,low_access_pop,3274.437589,I
2010-01-01,tract_06073008310,food_access,low_access_pop_share,60.7277,I
2010-01-01,tract_06073008310,food_access,low_income_low_access_pop,256.2686165,I
2010-01-01,tract_06073008310,food_access,pop_total,5392.0,I
2010-01-01,tract_06073008311,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008311,food_access,low_access_pop,1179.29121,I
2010-01-01,tract_06073008311,food_access,low_access_pop_share,40.890819,I
2010-01-01,tract_06073008311,food_access,low_income_low_access_pop,129.2032056,I
2010-01-01,tract_06073008311,food_access,pop_total,2884.0,I
2010-01-01,tract_06073008312,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008312,food_access,low_access_pop,2466.312284,I
2010-01-01,tract_06073008312,food_access,low_access_pop_share,67.961209,I
2010-01-01,tract_06073008312,food_access,low_income_low_access_pop,211.0005443,I
2010-01-01,tract_06073008312,food_access,pop_total,3629.0,I
2010-01-01,tract_06073008313,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008313,food_access,low_access_pop,599.5574082,I
2010-01-01,tract_06073008313,food_access,low_access_pop_share,26.9464,I
2010-01-01,tract_06073008313,food_access,low_income_low_access_pop,13.93066584,I
2010-01-01,tract_06073008313,food_access,pop_total,2225.0,I
2010-01-01,tract_06073008341,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008341,food_access,low_access_pop,0.0,I
2010-01-01,tract_06073008341,food_access,low_access_pop_share,0.0,I
2010-01-01,tract_06073008341,food_access,low_income_low_access_pop,0.0,I
2010-01-01,tract_06073008341,food_access,pop_total,7614.0,I
2010-01-01,tract_06073008361,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008361,food_access,low_access_pop,0.0,I
2010-01-01,tract_06073008361,food_access,low_access_pop_share,0.0,I
2010-01-01,tract_06073008361,food_access,low_income_low_access_pop,0.0,I
2010-01-01,tract_06073008361,food_access,pop_total,2642.0,I
2010-01-01,tract_06073008362,food_access,lila_flag,0.0,I
2010-01-01,tract_06073008362,food_access,low_access_pop,1.178383827,I
2010-01-01,tract_06073008362,food_access,low_access_pop_share,0.037516,I
2010-01-01,tract_06073008362,food_access,low_income_low_access_pop,0.384448737,I
2010-01-01,tract_06073008362,food_access,pop_total,3141.0,I
2015-01-01,la_jolla,food_access,lila_flag,0.0,I
2015-01-01,la_jolla,food_access,low_access_pop,13098.13978331434,I
2015-01-01,la_jolla,food_access,low_access_pop_share,22.283327293831814,I
2015-01-01,la_jolla,food_access,low_income_low_access_pop,1559.7365148611257,I
2015-01-01,la_jolla,food_access,pop_total,58780.0,I
2015-01-01,la_jolla,food_access,snap_housing_units,215.0,I
2015-01-01,tract_06073008006,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008006,food_access,low_access_pop,0.0,I
2015-01-01,tract_06073008006,food_access,low_access_pop_share,0.0,I
2015-01-01,tract_06073008006,food_access,low_income_low_access_pop,0.0,I
2015-01-01,tract_06073008006,food_access,pop_total,3805.0,I
2015-01-01,tract_06073008006,food_access,snap_housing_units,22.0,I
2015-01-01,tract_06073008101,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008101,food_access,low_access_pop,47.7257841825485,I
2015-01-01,tract_06073008101,food_access,low_access_pop_share,1.190466,I
2015-01-01,tract_06073008101,food_access,low_income_low_access_pop,8.07345815002918,I
2015-01-01,tract_06073008101,food_access,pop_total,4009.0,I
2015-01-01,tract_06073008101,food_access,snap_housing_units,13.0,I
2015-01-01,tract_06073008102,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008102,food_access,low_access_pop,1232.81119537074,I
2015-01-01,tract_06073008102,food_access,low_access_pop_share,36.312554,I
2015-01-01,tract_06073008102,food_access,low_income_low_access_pop,57.8621769862002,I
2015-01-01,tract_06073008102,food_access,pop_total,3395.0,I
2015-01-01,tract_06073008102,food_access,snap_housing_units,6.0,I
2015-01-01,tract_06073008200,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008200,food_access,low_access_pop,0.0,I
2015-01-01,tract_06073008200,food_access,low_access_pop_share,0.0,I
2015-01-01,tract_06073008200,food_access,low_income_low_access_pop,0.0,I
2015-01-01,tract_06073008200,food_access,pop_total,3022.0,I
2015-01-01,tract_06073008200,food_access,snap_housing_units,0.0,I
2015-01-01,tract_06073008301,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008301,food_access,low_access_pop,2468.34616154432,I
2015-01-01,tract_06073008301,food_access,low_access_pop_share,79.77848,I
2015-01-01,tract_06073008301,food_access,low_income_low_access_pop,344.228709824383,I
2015-01-01,tract_06073008301,food_access,pop_total,3094.0,I
2015-01-01,tract_06073008301,food_access,snap_housing_units,8.0,I
2015-01-01,tract_06073008303,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008303,food_access,low_access_pop,1757.16003164835,I
2015-01-01,tract_06073008303,food_access,low_access_pop_share,50.991295,I
2015-01-01,tract_06073008303,food_access,low_income_low_access_pop,260.948179638129,I
2015-01-01,tract_06073008303,food_access,pop_total,3446.0,I
2015-01-01,tract_06073008303,food_access,snap_housing_units,0.0,I
2015-01-01,tract_06073008305,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008305,food_access,low_access_pop,71.3197357654571,I
2015-01-01,tract_06073008305,food_access,low_access_pop_share,0.680402,I
2015-01-01,tract_06073008305,food_access,low_income_low_access_pop,41.9185714721679,I
2015-01-01,tract_06073008305,food_access,pop_total,10482.0,I
2015-01-01,tract_06073008305,food_access,snap_housing_units,75.0,I
2015-01-01,tract_06073008310,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008310,food_access,low_access_pop,3274.43758863018,I
2015-01-01,tract_06073008310,food_access,low_access_pop_share,60.7277,I
2015-01-01,tract_06073008310,food_access,low_income_low_access_pop,378.538324454326,I
2015-01-01,tract_06073008310,food_access,pop_total,5392.0,I
2015-01-01,tract_06073008310,food_access,snap_housing_units,31.0,I
2015-01-01,tract_06073008311,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008311,food_access,low_access_pop,1179.29121025651,I
2015-01-01,tract_06073008311,food_access,low_access_pop_share,40.890819,I
2015-01-01,tract_06073008311,food_access,low_income_low_access_pop,137.861732752993,I
2015-01-01,tract_06073008311,food_access,pop_total,2884.0,I
2015-01-01,tract_06073008311,food_access,snap_housing_units,14.0,I
2015-01-01,tract_06073008312,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008312,food_access,low_access_pop,2466.31228384747,I
2015-01-01,tract_06073008312,food_access,low_access_pop_share,67.961209,I
2015-01-01,tract_06073008312,food_access,low_income_low_access_pop,280.944819934666,I
2015-01-01,tract_06073008312,food_access,pop_total,3629.0,I
2015-01-01,tract_06073008312,food_access,snap_housing_units,1.0,I
2015-01-01,tract_06073008313,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008313,food_access,low_access_pop,599.557408241555,I
2015-01-01,tract_06073008313,food_access,low_access_pop_share,26.9464,I
2015-01-01,tract_06073008313,food_access,low_income_low_access_pop,48.86391160544,I
2015-01-01,tract_06073008313,food_access,pop_total,2225.0,I
2015-01-01,tract_06073008313,food_access,snap_housing_units,7.0,I
2015-01-01,tract_06073008341,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008341,food_access,low_access_pop,0.0,I
2015-01-01,tract_06073008341,food_access,low_access_pop_share,0.0,I
2015-01-01,tract_06073008341,food_access,low_income_low_access_pop,0.0,I
2015-01-01,tract_06073008341,food_access,pop_total,7614.0,I
2015-01-01,tract_06073008341,food_access,snap_housing_units,24.0,I
2015-01-01,tract_06073008361,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008361,food_access,low_access_pop,0.0,I
2015-01-01,tract_06073008361,food_access,low_access_pop_share,0.0,I
2015-01-01,tract_06073008361,food_access,low_income_low_access_pop,0.0,I
2015-01-01,tract_06073008361,food_access,pop_total,2642.0,I
2015-01-01,tract_06073008361,food_access,snap_housing_units,14.0,I
2015-01-01,tract_06073008362,food_access,lila_flag,0.0,I
2015-01-01,tract_06073008362,food_access,low_access_pop,1.17838382720947,I
2015-01-01,tract_06073008362,food_access,low_access_pop_share,0.037516,I
2015-01-01,tract_06073008362,food_access,low_income_low_access_pop,0.496630042791367,I
2015-01-01,tract_06073008362,food_access,pop_total,3141.0,I
2015-01-01,tract_06073008362,food_access,snap_housing_units,0.0,I
2019-01-01,la_jolla,food_access,lila_flag,0.0,I
2019-01-01,la_jolla,food_access,low_access_pop,13263.973836651936,I
2019-01-01,la_jolla,food_access,low_access_pop_share,42.49230766186749,I
2019-01-01,la_jolla,food_access,low_income_low_access_pop,1694.526152123799,I
2019-01-01,la_jolla,food_access,pop_total,58780.0,I
2019-01-01,la_jolla,food_access,snap_housing_units,280.0,I
2019-01-01,tract_06073008006,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008006,food_access,pop_total,3805.0,I
2019-01-01,tract_06073008006,food_access,snap_housing_units,11.0,I
2019-01-01,tract_06073008101,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008101,food_access,low_access_pop,47.7257841825485,I
2019-01-01,tract_06073008101,food_access,low_access_pop_share,1.190466,I
2019-01-01,tract_06073008101,food_access,low_income_low_access_pop,8.26164788007736,I
2019-01-01,tract_06073008101,food_access,pop_total,4009.0,I
2019-01-01,tract_06073008101,food_access,snap_housing_units,0.0,I
2019-01-01,tract_06073008102,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008102,food_access,low_access_pop,1232.81119537074,I
2019-01-01,tract_06073008102,food_access,low_access_pop_share,36.312554,I
2019-01-01,tract_06073008102,food_access,low_income_low_access_pop,150.608415120456,I
2019-01-01,tract_06073008102,food_access,pop_total,3395.0,I
2019-01-01,tract_06073008102,food_access,snap_housing_units,10.0,I
2019-01-01,tract_06073008200,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008200,food_access,pop_total,3022.0,I
2019-01-01,tract_06073008200,food_access,snap_housing_units,0.0,I
2019-01-01,tract_06073008301,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008301,food_access,low_access_pop,2468.34616154432,I
2019-01-01,tract_06073008301,food_access,low_access_pop_share,79.77848,I
2019-01-01,tract_06073008301,food_access,low_income_low_access_pop,167.743196318857,I
2019-01-01,tract_06073008301,food_access,pop_total,3094.0,I
2019-01-01,tract_06073008301,food_access,snap_housing_units,8.0,I
2019-01-01,tract_06073008303,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008303,food_access,low_access_pop,1757.16003164835,I
2019-01-01,tract_06073008303,food_access,low_access_pop_share,50.991295,I
2019-01-01,tract_06073008303,food_access,low_income_low_access_pop,330.125884589041,I
2019-01-01,tract_06073008303,food_access,pop_total,3446.0,I
2019-01-01,tract_06073008303,food_access,snap_housing_units,0.0,I
2019-01-01,tract_06073008305,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008305,food_access,pop_total,10482.0,I
2019-01-01,tract_06073008305,food_access,snap_housing_units,106.0,I
2019-01-01,tract_06073008310,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008310,food_access,low_access_pop,3274.43758863019,I
2019-01-01,tract_06073008310,food_access,low_access_pop_share,60.7277,I
2019-01-01,tract_06073008310,food_access,low_income_low_access_pop,450.516265033672,I
2019-01-01,tract_06073008310,food_access,pop_total,5392.0,I
2019-01-01,tract_06073008310,food_access,snap_housing_units,0.0,I
2019-01-01,tract_06073008311,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008311,food_access,low_access_pop,1179.29121025652,I
2019-01-01,tract_06073008311,food_access,low_access_pop_share,40.890819,I
2019-01-01,tract_06073008311,food_access,low_income_low_access_pop,110.167756772367,I
2019-01-01,tract_06073008311,food_access,pop_total,2884.0,I
2019-01-01,tract_06073008311,food_access,snap_housing_units,10.0,I
2019-01-01,tract_06073008312,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008312,food_access,low_access_pop,2440.78900763764,I
2019-01-01,tract_06073008312,food_access,low_access_pop_share,67.257895,I
2019-01-01,tract_06073008312,food_access,low_income_low_access_pop,414.543681089766,I
2019-01-01,tract_06073008312,food_access,pop_total,3629.0,I
2019-01-01,tract_06073008312,food_access,snap_housing_units,19.0,I
2019-01-01,tract_06073008313,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008313,food_access,low_access_pop,861.908536581323,I
2019-01-01,tract_06073008313,food_access,low_access_pop_share,38.737462,I
2019-01-01,tract_06073008313,food_access,low_income_low_access_pop,62.0899821091443,I
2019-01-01,tract_06073008313,food_access,pop_total,2225.0,I
2019-01-01,tract_06073008313,food_access,snap_housing_units,2.0,I
2019-01-01,tract_06073008341,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008341,food_access,pop_total,7614.0,I
2019-01-01,tract_06073008341,food_access,snap_housing_units,27.0,I
2019-01-01,tract_06073008361,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008361,food_access,pop_total,2642.0,I
2019-01-01,tract_06073008361,food_access,snap_housing_units,32.0,I
2019-01-01,tract_06073008362,food_access,lila_flag,0.0,I
2019-01-01,tract_06073008362,food_access,low_access_pop,1.50432080030441,I
2019-01-01,tract_06073008362,food_access,low_access_pop_share,0.047893,I
2019-01-01,tract_06073008362,food_access,low_income_low_access_pop,0.469323210418224,I
2019-01-01,tract_06073008362,food_access,pop_total,3141.0,I
2019-01-01,tract_06073008362,food_access,snap_housing_units,55.0,I
